ts_event,publisher_id,product_id,open,high,low,close,volume
1646092800000000000,1,5782,4377500000000,4399000000000,4275000000000,4317250000000,1795288
1646092800000000000,1,3541,14258250000000,14327750000000,13900000000000,14052500000000,637779
1646179200000000000,1,5782,4317250000000,4399250000000,4278250000000,4375000000000,1642181
1646179200000000000,1,3541,14052750000000,14290000000000,13911500000000,14206000000000,619675
1646265600000000000,1,5782,4375250000000,4418750000000,4341000000000,4371750000000,1504125
1646265600000000000,1,3541,14205750000000,14391000000000,13955000000000,14079500000000,590862
1646352000000000000,1,5782,4371750000000,4374500000000,4281250000000,4320250000000,1754805
1646352000000000000,1,3541,14082000000000,14086500000000,13733750000000,13798750000000,712420
1646524800000000000,1,5782,4308750000000,4310000000000,4263000000000,4269500000000,38942
1646524800000000000,1,3541,13763500000000,13763500000000,13563000000000,13583750000000,18942
1646611200000000000,1,5782,4269250000000,4325250000000,4181000000000,4186250000000,1790326
1646611200000000000,1,3541,13583500000000,13879750000000,13250250000000,13269250000000,690333
1646697600000000000,1,5782,4186500000000,4275000000000,4138750000000,4169250000000,2257130
1646697600000000000,1,3541,13270250000000,13666000000000,13103250000000,13251000000000,825775
1646784000000000000,1,5782,4169250000000,4298250000000,4164500000000,4276250000000,1549055
1646784000000000000,1,3541,13249750000000,13821750000000,13222000000000,13746750000000,641312
1646870400000000000,1,5782,4276500000000,4282000000000,4207000000000,4264500000000,1452829
1646870400000000000,1,3541,13746750000000,13764000000000,13396250000000,13596250000000,573468
1646956800000000000,1,5782,4264250000000,4335500000000,4198000000000,4205750000000,895754
1646956800000000000,1,3541,13596250000000,13860750000000,13281750000000,13301750000000,370985
1647129600000000000,1,5782,4216000000000,4235750000000,4211750000000,4232500000000,16106
1647129600000000000,1,3541,13362000000000,13403500000000,13336250000000,13371500000000,7908
1647216000000000000,1,5782,4232250000000,4254500000000,4160750000000,4182250000000,536372
1647216000000000000,1,3541,13370250000000,13447500000000,13015500000000,13106000000000,315050
